Disturbance,Temperature,Common_Name,Sex,Date,Initial_Three_Min_Cnt,TaxonCode,PIF_Watchlist_Status,Year,Scientific_Name,AcceptedTSN,Source_Sheet,AOU_Code,Interval_Length,Location_Type,End_Time,Admin_Unit_Code,Sky,Wind,Flyover_Observed,Distance,Humidity,Regional_Stewardship_Status,Start_Time,ID_Method,Plot_Name,Visit,Observer,Ecosystem
No effect on count,19.8999996185303,Eastern Towhee,Undetermined,2018-05-22,True,83803,False,2018,Pipilo erythrophthalmus,179276,ANTI,EATO,1.25,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,50.0,79.4000015258789,True,06:19:00,Singing,ANTI-0036,1,Elizabeth Oswald,Forest
No effect on count,19.8999996185303,White-breasted Nuthatch,Unknown,2018-05-22,True,90935,False,2018,Sitta carolinensis,178775,ANTI,WBNU,1.25,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,50.0,79.4000015258789,False,06:19:00,Calling,ANTI-0036,1,Elizabeth Oswald,Forest
No effect on count,19.8999996185303,Red-bellied Woodpecker,Unknown,2018-05-22,False,84865,False,2018,Melanerpes carolinus,178195,ANTI,RBWO,3.75,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,75.0,79.4000015258789,False,06:19:00,Calling,ANTI-0036,1,Elizabeth Oswald,Forest
No effect on count,19.8999996185303,Orchard Oriole,Unknown,2018-05-22,False,93634,False,2018,Icterus spurius,179064,ANTI,OROR,3.75,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,50.0,79.4000015258789,False,06:19:00,Singing,ANTI-0036,1,Elizabeth Oswald,Forest
No effect on count,19.8999996185303,Northern Mockingbird,Unknown,2018-05-22,False,88394,False,2018,Mimus polyglottos,178620,ANTI,NOMO,3.75,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,50.0,79.4000015258789,False,06:19:00,Visualization,ANTI-0036,1,Elizabeth Oswald,Forest
No effect on count,19.8999996185303,Northern Cardinal,Unknown,2018-05-22,False,94228,False,2018,Cardinalis cardinalis,179124,ANTI,NOCA,6.25,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,50.0,79.4000015258789,False,06:19:00,Singing,ANTI-0036,1,Elizabeth Oswald,Forest
No effect on count,19.8999996185303,Northern Cardinal,Unknown,2018-05-22,True,94228,False,2018,Cardinalis cardinalis,179124,ANTI,NOCA,1.25,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,75.0,79.4000015258789,False,06:19:00,Singing,ANTI-0036,1,Elizabeth Oswald,Forest
No effect on count,19.8999996185303,Horned Lark,Unknown,2018-05-22,True,264079,False,2018,Eremophila alpestris,554256,ANTI,HOLA,1.25,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,50.0,79.4000015258789,False,06:19:00,Singing,ANTI-0036,1,Elizabeth Oswald,Forest
No effect on count,19.8999996185303,Mourning Dove,Unknown,2018-05-22,True,82737,False,2018,Zenaida macroura,177125,ANTI,MODO,1.25,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,50.0,79.4000015258789,False,06:19:00,Singing,ANTI-0036,1,Elizabeth Oswald,Forest
No effect on count,19.8999996185303,Field Sparrow,Undetermined,2018-05-22,False,84790,False,2018,Spizella pusilla,179443,ANTI,FISP,6.25,Forest,06:29:00,ANTI,Cloudy/Overcast,1.0,False,50.0,79.4000015258789,True,06:19:00,Singing,ANTI-0036,1,Elizabeth Oswald,Forest
