ID_Method,Observer,Start_Time,Scientific_Name,Temperature,Interval_Length,Wind,Visit,Source_Sheet,Humidity,Distance,Admin_Unit_Code,Common_Name,PIF_Watchlist_Status,Sex,Year,End_Time,Date,Sky,TaxonCode,Initial_Three_Min_Cnt,Regional_Stewardship_Status,Plot_Name,AOU_Code,Disturbance,AcceptedTSN,Flyover_Observed,Location_Type,Ecosystem
Singing,Elizabeth Oswald,06:19:00,Pipilo erythrophthalmus,19.8999996185303,1.25,1.0,1,ANTI,79.4000015258789,50.0,ANTI,Eastern Towhee,False,Undetermined,2018,06:29:00,2018-05-22,Cloudy/Overcast,83803,True,True,ANTI-0036,EATO,No effect on count,179276.0,False,Forest,Forest
Calling,Elizabeth Oswald,06:19:00,Sitta carolinensis,19.8999996185303,1.25,1.0,1,ANTI,79.4000015258789,50.0,ANTI,White-breasted Nuthatch,False,Unknown,2018,06:29:00,2018-05-22,Cloudy/Overcast,90935,True,False,ANTI-0036,WBNU,No effect on count,178775.0,False,Forest,Forest
Calling,Elizabeth Oswald,06:19:00,Melanerpes carolinus,19.8999996185303,3.75,1.0,1,ANTI,79.4000015258789,75.0,ANTI,Red-bellied Woodpecker,False,Unknown,2018,06:29:00,2018-05-22,Cloudy/Overcast,84865,False,False,ANTI-0036,RBWO,No effect on count,178195.0,False,Forest,Forest
Singing,Elizabeth Oswald,06:19:00,Icterus spurius,19.8999996185303,3.75,1.0,1,ANTI,79.4000015258789,50.0,ANTI,Orchard Oriole,False,Unknown,2018,06:29:00,2018-05-22,Cloudy/Overcast,93634,False,False,ANTI-0036,OROR,No effect on count,179064.0,False,Forest,Forest
Visualization,Elizabeth Oswald,06:19:00,Mimus polyglottos,19.8999996185303,3.75,1.0,1,ANTI,79.4000015258789,50.0,ANTI,Northern Mockingbird,False,Unknown,2018,06:29:00,2018-05-22,Cloudy/Overcast,88394,False,False,ANTI-0036,NOMO,No effect on count,178620.0,False,Forest,Forest
Singing,Elizabeth Oswald,06:19:00,Cardinalis cardinalis,19.8999996185303,6.25,1.0,1,ANTI,79.4000015258789,50.0,ANTI,Northern Cardinal,False,Unknown,2018,06:29:00,2018-05-22,Cloudy/Overcast,94228,False,False,ANTI-0036,NOCA,No effect on count,179124.0,False,Forest,Forest
Singing,Elizabeth Oswald,06:19:00,Cardinalis cardinalis,19.8999996185303,1.25,1.0,1,ANTI,79.4000015258789,75.0,ANTI,Northern Cardinal,False,Unknown,2018,06:29:00,2018-05-22,Cloudy/Overcast,94228,True,False,ANTI-0036,NOCA,No effect on count,179124.0,False,Forest,Forest
Singing,Elizabeth Oswald,06:19:00,Eremophila alpestris,19.8999996185303,1.25,1.0,1,ANTI,79.4000015258789,50.0,ANTI,Horned Lark,False,Unknown,2018,06:29:00,2018-05-22,Cloudy/Overcast,264079,True,False,ANTI-0036,HOLA,No effect on count,554256.0,False,Forest,Forest
Singing,Elizabeth Oswald,06:19:00,Zenaida macroura,19.8999996185303,1.25,1.0,1,ANTI,79.4000015258789,50.0,ANTI,Mourning Dove,False,Unknown,2018,06:29:00,2018-05-22,Cloudy/Overcast,82737,True,False,ANTI-0036,MODO,No effect on count,177125.0,False,Forest,Forest
Singing,Elizabeth Oswald,06:19:00,Spizella pusilla,19.8999996185303,6.25,1.0,1,ANTI,79.4000015258789,50.0,ANTI,Field Sparrow,False,Undetermined,2018,06:29:00,2018-05-22,Cloudy/Overcast,84790,False,True,ANTI-0036,FISP,No effect on count,179443.0,False,Forest,Forest
Singing,Elizabeth Oswald,06:19:00,Thryothorus ludovicianus,19.8999996185303,1.25,1.0,1,ANTI,79.4000015258789,50.0,ANTI,Carolina Wren,False,Unknown,2018,06:29:00,2018-05-22,Cloudy/Overcast,88350,True,False,ANTI-0036,CARW,No effect on count,178581.0,False,Forest,Forest
Visualization,Elizabeth Oswald,06:19:00,Poecile carolinensis,19.8999996185303,8.75,1.0,1,ANTI,79.4000015258789,50.0,ANTI,Carolina Chickadee,False,Unknown,2018,06:29:00,2018-05-22,Cloudy/Overcast,265876,False,True,ANTI-0036,CACH,No effect on count,554383.0,False,Forest,Forest
Singing,Elizabeth Oswald,06:19:00,Contopus virens,19.8999996185303,1.25,1.0,1,ANTI,79.4000015258789,75.0,ANTI,Eastern Wood-Pewee,False,Undetermined,2018,06:29:00,2018-05-22,Cloudy/Overcast,85846,True,True,ANTI-0036,EAWP,No effect on count,178359.0,False,Forest,Forest
